,Ano Evento,Mês Evento,Subestação Hier.Geoelétrica,Alimentador Hier.Geoelétrica,Bloco Alimentador Hier.Geoelétrica,Transformador Hier.Geoelétrica,Pot,Cod Grupo Causa GPO,Grupo Causa GPO,Cod Causa Evento,Causa Evento,DIC Transformador,FIC Transformador,Duração
5512,2012,12/2012,CPX,CPX-L1,1530,2539,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C391,ISOLADOR DANIFICADO,3.0,1.0,0.0
5513,2013,02/2013,CPX,CPX-L1,1530,2539,75.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,249.74455,190.0,1.314445
5514,2013,06/2013,CPX,CPX-L1,1530,2539,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C326,JUMPER CHAVE FUSÍVEL,56.7,27.0,2.1
5515,2013,10/2013,CPX,CPX-L1,1530,2539,75.0,3,SUBESTAÇÃO NÃO PROGRAMADA,C073,FALHA DE CONEXÃO,9.3157,95.0,0.09806
5516,2013,11/2013,CPX,CPX-L1,1530,2539,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C432,DEFEITO NA CHAVE,16.8359,95.0,0.17722
5517,2014,01/2014,CPX,CPX-L1,1530,2539,75.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,360.0,96.0,3.75
5518,2014,03/2014,CPX,CPX-L1,1530,2539,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C394,DESARME POR DESREGUL,216.0,96.0,2.25
5519,2013,04/2013,MGB,MGB-L3,2541,2541,45.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,0.41665,5.0,0.08333
5520,2013,04/2013,MGB,MGB-L3,2542,2542,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,6.49974,78.0,0.08333
5521,2014,05/2014,MGB,MGB-L3,2542,2542,75.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C272,DESNIVELADO,274.04973,81.0,3.38333
5522,2014,08/2014,MGB,MGB-L3,-1,2542,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C196,SOBRETENSÃO,97.2,81.0,1.2
5523,2014,11/2014,MGB,MGB-L3,2542,2542,75.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C279,PRESTES A SE ROMPER,186.3,81.0,2.3000000000000003
5524,2012,04/2012,MGB,MGB-L4,18172,2544,112.5,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,31.29588,21.0,1.49028
5525,2012,05/2012,MGB,MGB-L4,18172,2544,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C285,PARTIDO NA EMENDA,26.6175,21.0,1.2675
